Tanggal;Jatim;Jateng;Jabar
18/03/2020;8;24;24
19/03/2020;12;26;26
20/03/2020;12;41;41
21/03/2020;14;55;55
22/03/2020;15;59;59
23/03/2020;15;59;59
24/03/2020;19;60;60
25/03/2020;38;73;73
26/03/2020;40;78;78
27/03/2020;43;98;98
28/03/2020;55;119;119
29/03/2020;63;149;149
30/03/2020;81;180;180
31/03/2020;93;198;198
01/04/2020;104;220;220
02/04/2020;104;223;223
03/04/2020;114;225;225
04/04/2020;120;247;247
05/04/2020;120;252;252
06/04/2020;132;263;263
07/04/2020;133;343;343
08/04/2020;140;365;365
09/04/2020;144;376;376
10/04/2020;144;388;388
11/04/2020;144;421;421
12/04/2020;200;450;450
13/04/2020;203;540;540
14/04/2020;278;530;530
15/04/2020;292;559;559
16/04/2020;300;570;570
17/04/2020;304;632;632
18/04/2020;329;641;641
19/04/2020;349;696;696
20/04/2020;351;747;747
21/04/2020;449;756;756
22/04/2020;479;762;762
23/04/2020;538;784;784
24/04/2020;575;862;862
25/04/2020;621;907;907
26/04/2020;649;912;912
27/04/2020;666;951;951
28/04/2020;682;969;969
29/04/2020;711;1009;1009
30/04/2020;724;1012;1012
01/05/2020;746;1012;1012
02/05/2020;767;1043;1043
03/05/2020;776;1054;1054
04/05/2020;798;1252;1252
05/05/2020;849;1300;1300
06/05/2020;891;1320;1320
07/05/2020;904;1381;1381
08/05/2020;933;1404;1404
09/05/2020;959;1437;1437
10/05/2020;978;1437;1437
11/05/2020;980;1493;1493
12/05/2020;989;1545;1545
13/05/2020;1023;1556;1556
14/05/2020;1066;1565;1565
15/05/2020;1109;1596;1596
16/05/2020;1140;1618;1618
17/05/2020;1157;1652;1652
18/05/2020;1165;1677;1677
19/05/2020;1175;1700;1700
20/05/2020;1192;1876;1876
21/05/2020;1217;1962;1962
22/05/2020;1234;2002;2002
23/05/2020;1288;2045;2045
24/05/2020;1309;2091;2091
25/05/2020;1311;2113;2113
26/05/2020;1315;2130;2130
27/05/2020;1326;2157;2157
28/05/2020;1336;2181;2181
29/05/2020;1350;2211;2211
30/05/2020;1366;2231;2231
31/05/2020;1403;2260;2260
01/06/2020;1417;2294;2294
02/06/2020;1432;2314;2314
03/06/2020;1455;2319;2319
04/06/2020;1479;2354;2354
05/06/2020;1537;2366;2366
06/06/2020;1564;2376;2376
07/06/2020;1615;2404;2404
08/06/2020;1642;2424;2424
09/06/2020;1674;2448;2448
10/06/2020;1813;2506;2506
11/06/2020;1832;2551;2551
12/06/2020;1876;2572;2572
13/06/2020;1946;2587;2587
14/06/2020;2059;2604;2604
15/06/2020;2175;2623;2623
16/06/2020;2231;2662;2662
17/06/2020;2346;2703;2703
18/06/2020;2391;2758;2758
19/06/2020;2471;2805;2805
20/06/2020;2569;2828;2828
21/06/2020;2668;2848;2848
22/06/2020;2717;2865;2865
23/06/2020;2766;2901;2901
24/06/2020;2842;2945;2945
25/06/2020;2920;2977;2977
26/06/2020;3097;3014;3014
27/06/2020;3294;3064;3064
28/06/2020;3482;3091;3091
29/06/2020;3680;3134;3134
30/06/2020;3833;3218;3218
01/07/2020;4006;3276;3276
02/07/2020;4159;3344;3344
03/07/2020;4293;3374;3374
04/07/2020;4403;3463;3463
05/07/2020;4611;3574;3574
06/07/2020;4738;3700;3700
07/07/2020;4878;3779;3779
08/07/2020;5083;3878;3878
09/07/2020;5203;4843;4843
10/07/2020;5303;4951;4951
11/07/2020;5403;5027;5027
12/07/2020;5473;5077;5077
13/07/2020;5573;5160;5160
14/07/2020;5653;5235;5235
15/07/2020;5914;5310;5310
16/07/2020;6128;5350;5350
17/07/2020;6366;5402;5402
18/07/2020;6632;5461;5461
19/07/2020;6932;5488;5488
20/07/2020;7286;5548;5548
21/07/2020;7407;5659;5659
22/07/2020;7726;5741;5741
23/07/2020;8021;5824;5824
24/07/2020;8145;5915;5915
25/07/2020;8336;5988;5988
26/07/2020;8412;6039;6039
27/07/2020;8622;6084;6084
28/07/2020;8807;6218;6218
29/07/2020;9120;6314;6314
30/07/2020;9281;6461;6461
31/07/2020;9516;6532;6532
01/08/2020;9659;6584;6584
02/08/2020;9732;6637;6637
03/08/2020;9827;6693;6693
04/08/2020;9887;6787;6787
05/08/2020;10036;6912;6912
06/08/2020;10151;6995;6995
07/08/2020;10383;7147;7147
08/08/2020;10471;7387;7387
09/08/2020;10611;7566;7566
10/08/2020;10679;7599;7599
11/08/2020;10765;7694;7694
12/08/2020;10944;7803;7803
13/08/2020;11148;7914;7914
14/08/2020;11340;8275;8275
15/08/2020;11471;8512;8512
16/08/2020;11639;8595;8595
17/08/2020;11675;8640;8640
18/08/2020;11793;8685;8685
19/08/2020;11924;8789;8789
20/08/2020;12092;8988;8988
21/08/2020;12188;9081;9081
22/08/2020;12288;9215;9215
23/08/2020;12476;9283;9283
24/08/2020;12628;9420;9420
25/08/2020;12826;9670;9670
26/08/2020;12973;9848;9848
27/08/2020;13225;10002;10002
28/08/2020;13467;10528;10528
29/08/2020;13647;10815;10815
30/08/2020;13785;10918;10918
31/08/2020;13964;11063;11063
01/09/2020;14164;11278;11278
02/09/2020;14428;11481;11481
03/09/2020;14670;11719;11719
04/09/2020;14860;12104;12104
05/09/2020;15118;12332;12332
06/09/2020;15351;12505;12505
07/09/2020;15615;12709;12709
08/09/2020;15852;13045;13045
09/09/2020;16133;13333;13333
10/09/2020;16508;13668;13668
11/09/2020;17074;14940;13940
12/09/2020;17460;14231;14231
13/09/2020;17742;14388;14388
14/09/2020;17913;14591;14591
15/09/2020;18111;14938;14938
16/09/2020;18451;15231;15231
17/09/2020;18744;15584;15584
18/09/2020;18942;15925;15925
;;;
;;;
